id|title|description|authorId
1|Black Robe|nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis|571
2|Overboard|posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci|728
3|Strul|arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in|879
4|Unhook the Stars|ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui|94
5|When Willie Comes Marching Home|nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit|91
6|Under the Skin|dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in|428
7|More|sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur|194
8|Great Communist Bank Robbery (Marele jaf comunist)|a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices|958
9|Someone Marry Barry|quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut|963
10|City of Fear|sed magna at nunc commodo placerat praesent blandit nam nulla integer pede|98
11|The Widow From Chicago|penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus|586
12|Bone Collector, The|pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing|483
13|Alaska: Spirit of the Wild|ligula sit amet eleifend pede libero quis orci nullam molestie nibh|748
14|99 francs|in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate|415
15|Beverly Hills Chihuahua|penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque|377
16|Sexual Life of the Belgians, The (Vie sexuelle des Belges 1950-1978, La)|nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque|271
17|My Best Friend's Girl|ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit|386
18|Jinxed!|faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi|429
19|Lilla Jönssonligan på styva linan|justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id|97
20|Captain Phillips|lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo|939
21|Jersey Girl|at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea|415
22|Footloose|sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate|420
23|Widows|ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in|646
24|Cat Run|porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non|635
25|Witch Who Came from the Sea, The|consequat varius integer ac leo pellentesque ultrices mattis odio donec|492
26|Fallen Sparrow, The|at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse|809
27|Day of the Animals|lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus|204
28|Thesis (Tesis)|mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet|223
29|Nixon|nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis|972
30|Chasing Ice|id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo|617
31|Toy Soldiers|congue risus semper porta volutpat quam pede lobortis ligula sit|551
32|Dyatlov Pass Incident, The (Devil's Pass)|tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien|154
33|Last King of Scotland, The|non mauris morbi non lectus aliquam sit amet diam in|508
34|Queen of Blood|dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|74
35|Black Tar Heroin: The Dark End of the Street|pede lobortis ligula sit amet eleifend pede libero quis orci|120
36|Dead End|nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et|58
37|They All Laughed|in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis|709
38|Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The|vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut|634
39|Hunter, The|a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis|18
40|Velvet Vampire, The|ac tellus semper interdum mauris ullamcorper purus sit amet nulla|104
41|Endurance: Shackleton's Legendary Antarctic Expedition, The|suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum|710
42|Soldier's Tale, A|eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a|866
43|Rififi (Du rififi chez les hommes)|mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed|857
44|Triggermen|donec ut dolor morbi vel lectus in quam fringilla rhoncus|72
45|Broadway Serenade|lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo|402
46|White Darkness, The|consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices|668
47|Simon|ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit|260
48|Metallica: Some Kind of Monster|hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat|499
49|Cross of Lorraine, The|primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec|206
