id|score|comment|bookId
1|67|a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante|502
2|28|justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla|211
3|98|justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo|536
4|56|enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum|26
5|53|sapien sapien non mi integer ac neque duis bibendum morbi non quam|761
6|25|sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum|286
7|53|morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel|842
8|94|purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor|177
9|50|vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt|291
10|98|aliquam sit amet diam in magna bibendum imperdiet nullam orci pede|106
11|61|donec posuere metus vitae ipsum aliquam non mauris morbi non lectus|542
12|76|eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in|202
13|54|dui proin leo odio porttitor id consequat in consequat ut nulla|406
14|78|aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a|303
15|58|etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit|174
16|31|leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit|863
17|54|viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae|71
18|19|a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus|147
19|61|neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis|54
20|71|at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget|217
21|12|morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue|520
